pokemon_id,move_id,game_id,learn_method_id,level
1,762,1,1,1
1,310,1,1,3
1,407,1,1,7
1,827,1,1,9
1,531,1,1,13
1,673,1,1,13
1,767,1,1,15
1,583,1,1,19
1,754,1,1,21
1,311,1,1,25
1,175,1,1,27
1,856,1,1,31
1,759,1,1,33
1,636,1,1,37
1,58,1,3,
1,295,1,3,
1,304,1,3,
1,394,1,3,
1,636,1,3,
1,687,1,3,
1,759,1,3,
1,856,1,3,
1,17,1,4,
1,106,1,4,
1,147,1,4,
1,215,1,4,
1,295,1,4,
1,305,1,4,
1,307,1,4,
1,379,1,4,
1,403,1,4,
1,430,1,4,
1,488,1,4,
1,519,1,4,
1,547,1,4,
1,666,1,4,
1,675,1,4,
1,35,1,5,
1,125,1,5,
1,174,1,5,
1,201,1,5,
1,216,1,5,
1,226,1,5,
1,283,1,5,
1,303,1,5,
1,342,1,5,
1,412,1,5,
1,488,1,5,
1,552,1,5,
1,592,1,5,
1,594,1,5,
1,615,1,5,
1,619,1,5,
1,674,1,5,
1,676,1,5,
1,691,1,5,
1,741,1,5,
1,743,1,5,
1,751,1,5,
1,757,1,5,
1,800,1,5,
1,825,1,5,
1,855,1,5,
1,310,2,1,1
1,762,2,1,1
1,827,2,1,3
1,311,2,1,6
1,407,2,1,9
1,583,2,1,12
1,531,2,1,15
1,673,2,1,15
1,636,2,1,18
1,767,2,1,21
1,754,2,1,24
1,759,2,1,27
1,856,2,1,30
1,175,2,1,33
1,691,2,1,36
1,306,2,3,
1,147,2,4,
1,379,2,4,
1,488,2,4,
1,519,2,4,
1,666,2,4,
1,800,2,4,
1,17,2,5,
1,35,2,5,
1,71,2,5,
1,93,2,5,
1,106,2,5,
1,215,2,5,
1,216,2,5,
1,226,2,5,
1,232,2,5,
1,295,2,5,
1,303,2,5,
1,307,2,5,
1,340,2,5,
1,403,2,5,
1,412,2,5,
1,430,2,5,
1,547,2,5,
1,552,2,5,
1,592,2,5,
1,615,2,5,
1,619,2,5,
1,636,2,5,
1,674,2,5,
1,676,2,5,
1,687,2,5,
1,691,2,5,
1,741,2,5,
1,743,2,5,
1,757,2,5,
1,825,2,5,
1,841,2,5,
1,855,2,5,
1,310,3,1,1
1,762,3,1,1
1,827,3,1,3
1,311,3,1,6
1,407,3,1,9
1,583,3,1,12
1,531,3,1,15
1,673,3,1,15
1,636,3,1,18
1,767,3,1,21
1,754,3,1,24
1,759,3,1,27
1,856,3,1,30
1,175,3,1,33
1,691,3,1,36
1,17,3,4,
1,106,3,4,
1,147,3,4,
1,307,3,4,
1,379,3,4,
1,403,3,4,
1,430,3,4,
1,488,3,4,
1,519,3,4,
1,547,3,4,
1,666,3,4,
1,675,3,4,
1,35,3,5,
1,93,3,5,
1,148,3,5,
1,174,3,5,
1,215,3,5,
1,216,3,5,
1,226,3,5,
1,232,3,5,
1,257,3,5,
1,295,3,5,
1,303,3,5,
1,412,3,5,
1,552,3,5,
1,592,3,5,
1,606,3,5,
1,619,3,5,
1,674,3,5,
1,676,3,5,
1,691,3,5,
1,733,3,5,
1,741,3,5,
1,743,3,5,
1,751,3,5,
1,757,3,5,
1,800,3,5,
1,855,3,5,
1,310,4,1,1
1,762,4,1,1
1,827,4,1,3
1,311,4,1,6
1,407,4,1,9
1,583,4,1,12
1,531,4,1,15
1,673,4,1,15
1,636,4,1,18
1,767,4,1,21
1,754,4,1,24
1,759,4,1,27
1,856,4,1,30
1,547,4,1,33
1,691,4,1,36
1,147,4,4,
1,379,4,4,
1,519,4,4,
1,800,4,4,
1,6,4,5,
1,71,4,5,
1,93,4,5,
1,106,4,5,
1,147,4,5,
1,147,4,5,
1,175,4,5,
1,175,4,5,
1,215,4,5,
1,216,4,5,
1,226,4,5,
1,232,4,5,
1,295,4,5,
1,303,4,5,
1,304,4,5,
1,306,4,5,
1,306,4,5,
1,307,4,5,
1,340,4,5,
1,394,4,5,
1,394,4,5,
1,403,4,5,
1,430,4,5,
1,552,4,5,
1,592,4,5,
1,636,4,5,
1,674,4,5,
1,676,4,5,
1,691,4,5,
1,741,4,5,
1,743,4,5,
1,757,4,5,
1,767,4,5,
1,778,4,5,
1,800,4,5,
1,800,4,5,
1,803,4,5,
1,825,4,5,
1,841,4,5,
1,841,4,5,
2,310,1,1,1
2,407,1,1,1
2,762,1,1,1
2,310,1,1,3
2,407,1,1,7
2,827,1,1,9
2,531,1,1,13
2,673,1,1,13
2,767,1,1,15
2,583,1,1,20
2,754,1,1,23
2,311,1,1,28
2,175,1,1,31
2,856,1,1,36
2,759,1,1,39
2,691,1,1,44
2,58,1,3,
2,295,1,3,
2,304,1,3,
2,394,1,3,
2,636,1,3,
2,687,1,3,
2,759,1,3,
2,856,1,3,
2,17,1,4,
2,106,1,4,
2,147,1,4,
2,215,1,4,
2,295,1,4,
2,305,1,4,
2,307,1,4,
2,379,1,4,
2,403,1,4,
2,430,1,4,
2,488,1,4,
2,519,1,4,
2,547,1,4,
2,666,1,4,
2,675,1,4,
2,35,1,5,
2,125,1,5,
2,174,1,5,
2,201,1,5,
2,216,1,5,
2,226,1,5,
2,283,1,5,
2,303,1,5,
2,342,1,5,
2,412,1,5,
2,488,1,5,
2,552,1,5,
2,592,1,5,
2,594,1,5,
2,615,1,5,
2,619,1,5,
2,674,1,5,
2,676,1,5,
2,691,1,5,
2,741,1,5,
2,743,1,5,
2,751,1,5,
2,757,1,5,
2,800,1,5,
2,825,1,5,
2,855,1,5,
2,310,2,1,1
2,311,2,1,1
2,762,2,1,1
2,827,2,1,1
2,407,2,1,9
2,583,2,1,12
2,531,2,1,15
2,673,2,1,15
2,636,2,1,20
2,767,2,1,25
2,754,2,1,30
2,759,2,1,35
2,856,2,1,40
2,175,2,1,45
2,691,2,1,50
2,306,2,3,
2,147,2,4,
2,379,2,4,
2,488,2,4,
2,519,2,4,
2,666,2,4,
2,800,2,4,
2,17,2,5,
2,35,2,5,
2,71,2,5,
2,93,2,5,
2,106,2,5,
2,215,2,5,
2,216,2,5,
2,226,2,5,
2,232,2,5,
2,295,2,5,
2,303,2,5,
2,307,2,5,
2,340,2,5,
2,403,2,5,
2,412,2,5,
2,430,2,5,
2,547,2,5,
2,552,2,5,
2,592,2,5,
2,615,2,5,
2,619,2,5,
2,636,2,5,
2,674,2,5,
2,676,2,5,
2,687,2,5,
2,691,2,5,
2,741,2,5,
2,743,2,5,
2,757,2,5,
2,825,2,5,
2,841,2,5,
2,855,2,5,
2,310,3,1,1
2,311,3,1,1
2,762,3,1,1
2,827,3,1,1
2,407,3,1,9
2,583,3,1,12
2,531,3,1,15
2,673,3,1,15
2,636,3,1,20
2,767,3,1,25
2,754,3,1,30
2,759,3,1,35
2,856,3,1,40
2,175,3,1,45
2,691,3,1,50
2,17,3,4,
2,106,3,4,
2,147,3,4,
2,307,3,4,
2,379,3,4,
2,403,3,4,
2,430,3,4,
2,488,3,4,
2,519,3,4,
2,547,3,4,
2,666,3,4,
2,675,3,4,
2,35,3,5,
2,93,3,5,
2,148,3,5,
2,174,3,5,
2,215,3,5,
2,216,3,5,
2,226,3,5,
2,232,3,5,
2,257,3,5,
2,295,3,5,
2,303,3,5,
2,412,3,5,
2,552,3,5,
2,592,3,5,
